"","Entry","HfCl4","H2BPDC","DMF","HCO2H","Formic_acid_purity","H2O","Reaction_time","Temperature","Phase"
"1",1,32,24,4,0.8,99,0,24,150,"A"
"2",2,66,36,4,1,99,0,24,150,"A"
"3",3,96.1,72.3,4,1,99,0,24,150,"A"
"4",4,20.001,80,2.965,0.76,99,0.04,24,150,"A"
"5",5,66,24,4,0.8,99,0,24,150,"A"
"6",6,66,36,5,1,99,0.2,24,150,"A"
"7",7,66,36,6,1,99,0.2,24,150,"A"
"8",8,96.1,72.3,3.6,1.1,99,0,24,150,"A"
"9",9,95.999,32,2.871,0.8,99,0,24,150,"A"
"10",10,20.001,80,3.765,1,99,0,24,150,"A"
"11",11,66,36,3.5,0.8,99,0,24,150,"A"
"12",12,80,144,4,1,99,0.3,24,150,"A"
"13",13,140,20,4,0.9,99,0.3,24,150,"A"
"14",14,200,50,4,0.9,99,0.3,24,150,"A"
"15",15,108,72,2.673,0.675,99,0,24,150,"A"
"16",16,22.5,54,3.321,0.9,99,0,24,150,"A"
"17",17,60,60,3.5,0.7,99,0.15,24,150,"A"
"18",18,40,64,5,1,99,0.1,24,150,"A"
"19",19,80,144,7,1.4,99,0.3,24,150,"A"
"20",20,66,36,5,1,99,0.2,24,150,"A"
"21",21,96.1,72.3,5,1.3,99,0,24,150,"A"
"22",22,30,30,4,0.7,99,0.6,24,150,"A"
"23",23,30,30,4,0.75,99,0.4,24,150,"A"
"24",24,52,40,4,0.6,99,0.4,24,150,"A"
"25",25,60,60,5,0.7,99,0.5,24,150,"A"
"26",26,60,60,5,0.9,99,0.7,24,150,"A"
"27",27,30,30,4,0.5,99,0.25,24,150,"A"
"28",28,48,72.3,4,1,99,0,24,150,"A"
"29",29,32,72.3,4,1,99,0,24,150,"A"
"30",30,32,24,4,1,99,0,24,150,"A"
"31",31,33,24,4,0.7,99,0,24,100,"A"
"32",32,36,18,4,0.8,99,0.2,24,120,"A"
"33",33,36,18,4,0.8,99,0.6,24,120,"A"
"34",34,80.002,64,2.195,0.72,99,0.08,24,120,"A"
"35",35,95.999,64,2.071,0.8,99,0.6,24,150,"B"
"36",36,95.999,80,2.471,1.3,99,0.12,24,150,"B"
"37",37,22.5,36,3.114,1.125,99,0,24,150,"B"
"38",38,96.1,72.3,4,1,99,1,24,150,"B"
"39",39,96.1,72.3,4,2,99,0.4,24,150,"B"
"40",40,40.001,64,1.929,1.52,99,0.28,24,150,"B"
"41",41,21.6,32,1.765,1.2,99,0.6,24,150,"B"
"42",42,20.001,16,1.765,0.9,99,0.32,24,150,"B"
"43",43,96.1,72.3,4,1.3,99,1,24,150,"B"
"44",44,80.002,48,1.859,1.14,99,0.26,24,150,"B"
"45",45,20.001,64,2.565,1.2,99,0.24,24,150,"B"
"46",46,24,50,4,1.4,99,0,24,150,"B"
"47",47,40.001,64,1.529,1.3,99,0.6,24,150,"B"
"48",48,20.001,48,2.165,1.28,99,0.32,24,150,"B"
"49",49,20.001,80,1.765,1.2,99,0.4,24,150,"B"
"50",50,20.001,64,2.565,1.14,99,0.4,24,150,"B"
"51",51,60.002,16,1.694,1.52,99,0.3,24,150,"B"
"52",52,80,144,6,1.4,99,0.3,24,150,"B"
"53",53,60.002,80,1.294,1.6,99,0.4,24,150,"B"
"54",54,24,72.3,4,1.2,99,0,24,150,"B"
"55",55,40,144,4,0.9,99,0.3,24,150,"B"
"56",56,66,36,4,1,99,0,24,100,"B"
"57",57,66,36,4,1,99,0.7,24,100,"B"
"58",58,66,36,4,1,99,1,24,100,"B"
"59",59,33,24,4,0,99,0,24,100,"B"
"60",60,33,24,4,1,99,0,24,100,"B"
"61",61,33,24,4,1.5,99,0,24,100,"B"
"62",62,33,24,4,2,99,0,24,100,"B"
"63",63,33,24,4,3,99,0,24,100,"B"
"64",64,60,48,2.846,0.04,99,0.36,24,100,"B"
"65",65,96,80,0.791,0.2,99,1.8,24,100,"B"
"66",66,40,32,0.697,0.56,99,2.24,24,100,"B"
"67",67,40.001,16,2.313,0.48,99,0.72,24,100,"B"
"68",68,80.002,48,0.211,1.12,99,1.68,24,100,"B"
"69",69,20.001,80,3.685,0,99,0,24,100,"B"
"70",70,60.002,32,2.062,0.72,99,0.48,24,100,"B"
"71",71,60.002,16,3.278,0,99,0,24,100,"B"
"72",72,40.001,80,1.449,2,99,0,24,100,"B"
"73",73,20.001,64,3.301,0.04,99,0.36,24,100,"B"
"74",74,80.002,16,1.043,0.4,99,1.6,24,100,"B"
"75",75,20.001,48,0.917,0.56,99,2.24,24,100,"B"
"76",76,95.999,32,0.839,0.8,99,1.2,24,100,"B"
"77",77,60.002,64,0.43,1.68,99,1.12,24,100,"B"
"78",78,36,18,4,1,99,0,24,120,"B"
"79",79,36,18,4,0.8,99,1,24,120,"B"
"80",80,66,36,4,1,99,0,24,120,"B"
"81",81,66,36,4,1,99,0.8,24,120,"B"
"82",82,95.999,16,1.655,0.84,99,0.36,24,120,"B"
"83",83,60.002,16,1.278,1,99,1,24,120,"B"
"84",84,20.001,32,3.733,0,99,0,24,120,"B"
"85",85,60.002,80,3.214,0,99,0,24,120,"B"
"86",86,40.001,32,1.497,1,99,1,24,120,"B"
"87",87,20.001,48,0.917,1.68,99,1.12,24,120,"B"
"88",88,80.002,48,3.011,0,99,0,24,120,"B"
"89",89,36,18,4,1,99,0,24,120,"B"
"90",90,60.002,16,2.478,0.8,99,0,24,120,"B"
"91",91,66,36,4,0.8,99,0.95,24,150,"B"
"92",92,150,120,4,0.6,99,1,24,150,"B"
"93",93,80,144,4,0.5,99,0.88,24,150,"B"
"94",94,66,36,4,1.4,99,1.5,24,150,"B"
"95",95,66,36,4,0.5,99,2,24,150,"B"
"96",96,66,24,4,1.2,99,0,24,150,"C"
"97",97,60.002,16,2.494,0.8,99,0,24,150,"C"
"98",98,96.1,72.3,4,1.3,99,0,24,150,"C"
"99",99,45,72,2.988,0.99,99,0,24,150,"C"
"100",100,96.1,48,4,1.4,99,0,24,150,"C"
"101",101,250,250,4,1.6,99,0,24,150,"C"
"102",102,135,90,2.16,0.9,99,0,24,150,"C"
"103",103,192,144.6,4,1.7,99,0,24,150,"C"
"104",104,170,40,4,1.4,99,0.1,24,150,"C"
"105",105,200,50,4,1.3,99,0.1,24,150,"C"
"106",106,200,20,4,1.2,99,0.1,24,150,"C"
"107",107,170,20,4,1.2,99,0.1,24,150,"C"
"108",108,40.001,64,3.329,1,99,0.1,24,150,"C"
"109",109,60,64,2.259,0.72,99,0.08,24,150,"C"
"110",110,192,144.6,4,2,99,0.2,24,150,"C"
"111",111,200,200,4,1.6,99,0.2,24,150,"C"
"112",112,32,24,4,1.2,99,0.2,24,150,"C"
"113",113,80,144,4,1.4,99,0.3,24,150,"C"
"114",114,60,144,4,1.4,99,0.3,24,150,"C"
"115",115,80,120,4,1.4,99,0.3,24,150,"C"
"116",116,140,70,4,1.4,99,0.3,24,150,"C"
"117",117,60,120,4,1.4,99,0.3,24,150,"C"
"118",118,80.002,32,2.259,0.64,99,0.16,24,150,"C"
"119",119,40,144,4,1.3,99,0.3,24,150,"C"
"120",120,20,144,4,1.3,99,0.3,24,150,"C"
"121",121,140,50,4,1.2,99,0.3,24,150,"C"
"122",122,150,120,4,1.7,99,0.4,24,150,"C"
"123",123,95.999,48,2.071,0.76,99,0.2,24,150,"C"
"124",124,100,120,4,1.6,99,0.4,24,150,"C"
"125",125,130,100,4,1.5,99,0.4,24,150,"C"
"126",126,150,80,4,1.5,99,0.4,24,150,"C"
"127",127,100,140,4,1.4,99,0.4,24,150,"C"
"128",128,130,80,4,1.4,99,0.4,24,150,"C"
"129",129,48,72.3,4,1.4,99,0.4,24,150,"C"
"130",130,60.002,48,2.094,0.96,99,0.24,24,150,"C"
"131",131,110,80,4,1.3,99,0.4,24,150,"C"
"132",132,96.1,72.3,4,1.3,99,0.4,24,150,"C"
"133",133,58,36,4,1.2,99,0.4,24,150,"C"
"134",134,150,120,3,1.5,99,0.4,24,150,"C"
"135",135,130,100,3,1.5,99,0.4,24,150,"C"
"136",136,130,80,3,1.5,99,0.4,24,150,"C"
"137",137,48,72.3,3.5,1.2,99,0.4,24,150,"C"
"138",138,192,144.6,3.5,1.8,99,0.5,24,150,"C"
"139",139,110,80,3,1.3,99,0.4,24,150,"C"
"140",140,96.1,72.3,4,1.5,99,0.5,24,150,"C"
"141",141,40.001,32,2.329,1.08,99,0.32,24,150,"C"
"142",142,96.1,48,4,1.4,99,0.5,24,150,"C"
